               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.01363,           0.0063807,                   0,             0.92751,             0.78054,             0.88023,             0.68473,            0.016104,           0.0051502,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,            0.014001,           0.0061424,                   0,             0.92397,             0.81264,             0.89029,             0.69114,            0.015849,           0.0052466,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,            0.013486,           0.0059273,                   0,             0.90565,             0.83649,             0.89511,             0.69342,            0.015772,           0.0051785,                   0,           0.0001585,           0.0001585,           0.0001585
                  87,            0.014151,           0.0066673,                   0,             0.92351,             0.78917,             0.87868,             0.67679,            0.016043,           0.0049907,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,            0.013762,           0.0065191,                   0,             0.93478,             0.81193,             0.88559,              0.6932,            0.015832,           0.0051439,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,            0.013683,           0.0064425,                   0,             0.92083,             0.80828,             0.88863,             0.69475,            0.015668,           0.0051391,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,            0.013294,           0.0063944,                   0,             0.88005,             0.84721,             0.89431,             0.68917,            0.015529,           0.0048247,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,             0.01365,            0.006727,                   0,             0.92602,             0.81264,             0.88758,             0.68407,            0.015692,           0.0050311,                   0,            0.000109,            0.000109,            0.000109
                  92,            0.013191,            0.006205,                   0,             0.93238,             0.84108,             0.89757,              0.6963,            0.015701,           0.0050002,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,            0.013317,           0.0063492,                   0,             0.92962,             0.83878,             0.89876,             0.69992,            0.015445,           0.0049027,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.012789,            0.006154,                   0,              0.9368,             0.80728,             0.88705,             0.68862,            0.015678,           0.0051638,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.012609,           0.0063111,                   0,             0.93781,             0.81264,               0.894,             0.69688,            0.015662,           0.0050354,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.010891,           0.0055107,                   0,             0.92637,             0.82229,             0.89857,             0.70323,            0.015481,           0.0051312,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.011173,           0.0054123,                   0,             0.91026,             0.81046,             0.89035,             0.70271,            0.015515,           0.0053052,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.010901,           0.0049298,                   0,             0.91453,             0.81264,             0.88941,             0.69879,            0.015569,           0.0054592,                   0,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.010418,           0.0050239,                   0,             0.93964,             0.81392,             0.89337,             0.69586,            0.015458,           0.0054034,                   0,            2.98e-05,            2.98e-05,            2.98e-05
