               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.041054,            0.017321,                   0,             0.68618,             0.54783,             0.62754,             0.34302,            0.024542,           0.0069213,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.04094,            0.018077,                   0,             0.57148,             0.53813,              0.5432,             0.28514,            0.028366,           0.0075253,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.040868,            0.017827,                   0,             0.72137,             0.61438,             0.69399,             0.38469,            0.025206,           0.0067395,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.039364,            0.016753,                   0,             0.73316,             0.58824,             0.68782,              0.3752,            0.025096,           0.0074139,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.040459,            0.017465,                   0,             0.65962,             0.57516,             0.62608,             0.33689,            0.026343,           0.0068429,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.039463,            0.017472,                   0,             0.63734,             0.54752,             0.60808,             0.34476,            0.024656,           0.0071246,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.040038,            0.017058,                   0,             0.64222,             0.46405,             0.49712,             0.23963,            0.031627,           0.0072779,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.03853,            0.015961,                   0,             0.70817,             0.56427,             0.62729,             0.36985,            0.025297,           0.0069872,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.038454,            0.016878,                   0,             0.73767,             0.59427,             0.68109,             0.38118,            0.024061,            0.006463,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.037079,            0.016414,                   0,             0.64307,             0.51416,             0.55867,             0.28128,            0.028444,           0.0072165,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.037468,            0.016646,                   0,             0.76583,             0.68845,             0.73749,             0.43795,            0.022661,            0.006427,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.037316,            0.016705,                   0,             0.78029,             0.62963,             0.73778,             0.41282,            0.024729,           0.0064688,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.036574,            0.016626,                   0,             0.64402,             0.55181,              0.5928,             0.33245,            0.025648,           0.0068986,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.036158,            0.015889,                   0,             0.68907,             0.60131,             0.64189,             0.36146,            0.023516,           0.0066708,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.036125,            0.016023,                   0,             0.80541,             0.60416,             0.72596,             0.40945,            0.023273,            0.006543,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.035364,            0.015964,                   0,              0.7396,             0.62309,             0.71351,             0.42075,            0.022664,           0.0063952,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036172,            0.015969,                   0,             0.72839,             0.64052,             0.70697,             0.41051,            0.023548,            0.006445,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.034259,            0.016023,                   0,             0.75918,             0.67538,             0.75708,             0.45774,            0.021567,           0.0065611,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.034417,            0.016023,                   0,             0.74273,             0.63834,             0.73316,             0.44198,            0.021999,           0.0066023,                   0,            0.000298,            0.000298,            0.000298
